PLATE,MJD,FIBER,RAJ2000,DEJ2000,GLON,GLAT,GMAG,U_G,G_R,D0_2,FM,CHG,BHG,D,R,X,Y,Z,HRV,E_HRV,VGAL,DR8,SLOAN,SIMBADNAME
3395,55004,9,189.810378889,34.1988330556,142.520905,82.459862,16.42,1.21,-0.17,26.51,0.25,0.92,9.98,14.9,17.7,9.6,-1.2,14.8,147.8,2.5,171.9,DR8,Sloan,SDSS J123914.49+341155.8
2457,54180,309,189.825546111,29.6313438889,169.060104,86.341011,13.63,1.17,-0.14,26.01,0.23,0.95,10.06,4.1,9.2,8.3,-0.1,4.1,58.8,1.5,68.1,DR8,Sloan,SDSS J123918.12+293752.8
1975,53734,335,189.989288056,32.8003011111,145.899185,83.807693,15.99,1.24,-0.15,26.24,0.22,0.9,9.21,12.2,15.2,9.1,-0.7,12.2,-90.0,2.5,-70.1,DR8,Sloan,SDSS J123957.42+324801.0
2236,53729,501,190.2285,27.7779619444,196.776962,87.576645,14.97,1.21,-0.22,26.47,0.21,1.07,9.88,7.7,11.3,8.3,0.1,7.7,111.6,1.9,115.6,DR8,Sloan,SDSS J124054.83+274640.6
2457,54180,298,190.322845,29.1540030556,170.173828,86.982437,13.73,1.16,-0.19,25.52,0.23,1.04,10.14,4.3,9.3,8.2,0.0,4.3,-69.9,1.6,-61.2,DR8,Sloan,SDSS J124117.47+290914.3
2648,54485,214,190.513946944,21.434525,281.856995,83.918587,15.17,0.92,-0.27,21.92,0.26,1.17,8.89,7.8,11.1,7.8,0.8,7.8,-71.3,2.1,-87.3,DR8,Sloan,SDSS J124203.34+212604.2
2457,54180,238,190.912613056,29.530325,157.979492,87.049431,14.14,1.0,-0.28,22.16,0.25,1.17,9.21,4.9,9.6,8.2,-0.1,4.9,17.2,1.7,28.3,DR8,Sloan,SDSS J124339.02+293149.1
2457,54180,252,190.962265,28.7099669444,169.155838,87.695274,15.2,0.83,-0.31,20.02,0.27,1.18,8.5,7.6,11.2,8.3,-0.1,7.6,-102.8,1.9,-94.3,DR8,Sloan,SDSS J124350.94+284235.8
2457,54180,191,191.068665,29.6626,154.375244,87.016068,15.71,1.13,-0.04,22.72,0.26,0.81,7.9,10.5,13.5,8.5,-0.2,10.5,-191.6,2.2,-179.8,DR8,Sloan,SDSS J124416.47+293945.3
2457,54180,188,191.077286111,29.4387380556,156.700378,87.207008,15.85,1.24,-0.05,23.1,0.27,0.88,8.57,11.2,14.1,8.5,-0.2,11.2,99.5,2.5,110.6,DR8,Sloan,SDSS J124418.54+292619.4
2457,54180,419,191.077636944,30.9225830556,144.829086,85.898445,15.48,1.22,-0.12,25.03,0.21,0.88,8.83,9.7,12.9,8.6,-0.4,9.7,53.3,1.9,69.2,DR8,Sloan,SDSS J124418.62+305521.3
2660,54504,7,191.330978056,23.9759788889,278.970612,86.559418,16.26,1.04,-0.24,24.18,0.24,1.16,9.95,13.6,15.7,7.9,0.8,13.5,-48.7,2.9,-54.8,DR8,Sloan,SDSS J124519.42+235833.5
2614,54481,452,191.665833056,20.7573469444,292.967133,83.536522,16.43,1.19,-0.18,27.61,0.22,0.98,9.68,15.0,16.7,7.3,1.6,14.9,17.9,2.8,2.2,DR8,Sloan,SDSS J124639.79+204526.4
2963,54589,319,192.042846944,9.79291305556,300.232819,72.647545,14.11,1.23,-0.18,25.62,0.23,1.03,10.21,5.1,8.8,7.2,1.3,4.9,80.2,1.9,30.5,DR8,Sloan,SDSS J124810.27+094734.4
3375,55003,69,192.420653889,35.5994680556,125.35244,81.520531,16.19,1.2,-0.14,25.66,0.24,0.93,9.91,13.5,16.2,9.1,-1.6,13.3,5.5,2.1,38.9,DR8,Sloan,SDSS J124940.95+353558.0
3375,55003,590,192.514693889,36.2239880556,124.690765,80.899551,15.88,1.2,-0.12,25.28,0.22,0.91,8.92,11.6,14.7,9.0,-1.5,11.5,-22.5,2.1,13.0,DR8,Sloan,SDSS J125003.52+361326.3
1989,53772,413,192.796538889,38.8317111111,123.17363,78.296417,14.95,1.13,-0.28,23.72,0.22,1.13,9.47,7.4,11.5,8.8,-1.3,7.3,-104.7,1.9,-60.5,DR8,Sloan,SDSS J125111.17+384954.1
2963,54589,104,193.927291944,9.40652305556,306.389221,72.249596,14.28,1.21,-0.06,22.78,0.27,0.8,7.76,5.5,8.8,7.0,1.3,5.2,150.2,1.7,103.6,DR8,Sloan,SDSS J125542.54+092423.4
2899,54568,428,194.037445,20.12604,311.935944,82.915268,16.24,1.22,-0.16,26.5,0.22,0.94,9.75,13.8,15.3,6.9,1.3,13.6,-81.3,2.2,-94.0,DR8,Sloan,SDSS J125608.98+200733.7
2006,53476,278,194.377196944,33.666435,111.987808,83.332336,16.25,0.98,-0.26,22.59,0.23,1.12,9.32,12.9,15.5,8.6,-1.4,12.8,-13.9,3.0,17.1,DR8,Sloan,SDSS J125730.52+333959.1
1994,53845,532,194.394226111,31.8124580556,107.383881,85.12915,16.42,1.1,-0.25,24.77,0.23,1.11,9.76,14.6,16.8,8.4,-1.2,14.5,-102.7,2.9,-77.5,DR8,Sloan,SDSS J125734.60+314844.8
2006,53476,367,194.454436944,34.7752911111,113.193657,82.231964,15.69,1.19,-0.12,25.86,0.21,0.97,9.42,10.7,13.7,8.6,-1.3,10.6,124.7,2.8,159.3,DR8,Sloan,SDSS J125749.06+344631.0
2602,54149,496,194.490173056,17.6975288889,312.336548,80.449959,15.39,1.25,-0.16,26.48,0.22,0.99,9.6,9.3,11.6,7.0,1.1,9.2,41.3,2.3,21.9,DR8,Sloan,SDSS J125757.64+174151.0
2899,54568,155,194.745255,19.6580919444,316.361877,82.332397,16.13,1.18,-0.1,24.63,0.22,0.96,9.42,13.1,14.7,6.7,1.2,13.0,-162.3,2.2,-174.9,DR8,Sloan,SDSS J125858.86+193929.1
3236,54892,590,194.80661,30.6050430556,97.270912,86.127792,16.2,1.26,-0.11,25.71,0.25,0.85,8.47,13.5,15.8,8.1,-0.9,13.5,-207.9,1.8,-185.7,DR8,Sloan,SDSS J125913.58+303618.1
1771,53498,460,194.973816111,15.8743819444,313.253265,78.576294,15.19,1.17,-0.23,26.0,0.21,1.05,9.9,8.5,10.8,6.9,1.2,8.3,47.1,2.3,23.0,DR8,Sloan,SDSS J125953.71+155227.7
2649,54212,26,194.980483889,21.9590211111,323.848969,84.482826,16.17,1.19,-0.16,25.86,0.23,1.05,10.23,13.3,15.0,7.0,0.8,13.2,-112.1,2.8,-116.9,DR8,Sloan,SDSS J125955.31+215732.4
3236,54892,32,195.171676944,28.8769319444,74.052147,87.31208,16.07,1.25,-0.2,26.0,0.23,1.0,9.7,12.7,14.9,7.8,-0.6,12.7,-10.4,1.8,7.1,DR8,Sloan,SDSS J130041.20+285236.9
3235,54880,472,196.605926944,20.0617711111,329.618408,82.145187,16.1,1.17,-0.22,25.9,0.22,1.07,9.79,12.9,14.3,6.5,0.9,12.8,27.4,1.7,20.1,DR8,Sloan,SDSS J130625.42+200342.3
2650,54505,548,196.750626111,22.4071430556,340.576935,84.10424,16.13,1.2,-0.18,26.5,0.2,0.96,9.88,13.1,14.7,6.7,0.4,13.0,187.9,2.6,188.3,DR8,Sloan,SDSS J130700.14+222425.7
2663,54234,412,197.66832,25.2381711111,10.354105,85.289375,15.51,1.14,-0.27,25.7,0.23,1.08,9.99,9.6,12.0,7.2,-0.1,9.6,38.4,2.5,49.7,DR8,Sloan,SDSS J131040.39+251417.4
2476,53826,249,198.248413056,16.3574388889,328.909393,78.127586,14.92,1.25,-0.14,26.02,0.24,0.87,8.8,7.5,9.9,6.7,0.8,7.3,-0.3,2.2,-15.4,DR8,Sloan,SDSS J131259.61+162126.7
2476,53826,443,198.555206111,17.8660069444,333.675812,79.351715,15.43,1.26,-0.09,26.67,0.2,0.86,8.8,9.5,11.3,6.4,0.8,9.3,-31.3,2.5,-41.0,DR8,Sloan,SDSS J131413.25+175157.5
2651,54507,491,198.666503889,22.3580380556,352.052551,82.890961,15.94,1.14,-0.25,24.65,0.23,1.14,9.64,11.7,13.3,6.6,0.2,11.6,18.8,2.5,23.3,DR8,Sloan,SDSS J131439.95+222128.9
3303,54950,231,199.251296944,24.9080888889,13.224126,83.842941,16.31,1.14,-0.24,26.02,0.23,1.09,10.02,13.9,15.3,6.6,-0.3,13.8,-59.5,2.2,-45.8,DR8,Sloan,SDSS J131700.31+245429.1
2244,53795,324,200.098846111,27.4997388889,37.895638,83.557983,16.43,1.28,-0.1,24.9,0.2,0.85,7.86,15.0,16.4,6.7,-1.0,14.9,16.3,3.4,39.9,DR8,Sloan,SDSS J132023.72+272959.0
2619,54506,446,201.151671944,20.6380838889,354.117462,80.025177,15.33,1.03,-0.32,23.33,0.24,1.18,9.07,8.4,10.6,6.5,0.2,8.3,28.5,2.1,33.3,DR8,Sloan,SDSS J132436.40+203817.1
3303,54950,30,201.222336111,24.3100569444,14.276885,81.958206,15.96,1.2,-0.15,27.02,0.23,0.99,10.35,12.1,13.6,6.4,-0.4,12.0,100.1,2.1,116.4,DR8,Sloan,SDSS J132453.36+241836.2
3301,54939,249,201.244658889,22.7202611111,4.653363,81.214256,16.03,0.99,-0.03,18.13,0.35,0.79,7.64,12.2,13.5,6.1,-0.2,12.1,-122.4,2.5,-111.0,DR8,Sloan,SDSS J132458.71+224312.9
2652,54508,572,201.359023889,22.539045,4.023328,81.028435,15.46,1.18,-0.15,26.09,0.22,0.93,9.5,9.6,11.5,6.5,-0.1,9.5,-148.4,2.1,-137.3,DR8,Sloan,SDSS J132526.16+223220.5
2652,54508,579,201.4767,22.5472738889,4.438357,80.940979,14.9,1.33,-0.24,25.52,0.23,1.1,9.89,7.4,10.0,6.8,-0.1,7.3,-100.3,1.8,-88.9,DR8,Sloan,SDSS J132554.40+223250.1
1978,53473,370,202.567856111,29.79373,52.553146,81.062027,14.78,1.2,-0.12,26.75,0.21,0.95,9.49,7.0,10.1,7.3,-0.9,6.9,-20.3,2.1,15.5,DR8,Sloan,SDSS J133016.28+294737.4
3301,54939,590,203.076446944,24.2391030556,17.775723,80.353592,15.87,1.18,-0.1,24.41,0.23,0.81,7.9,11.6,13.0,6.2,-0.6,11.4,-282.1,2.1,-261.9,DR8,Sloan,SDSS J133218.34+241420.7
2653,54230,161,203.237456944,20.911545,1.879222,78.672035,15.48,1.19,-0.2,25.56,0.25,1.04,10.24,9.7,11.3,6.1,-0.1,9.5,109.7,2.1,120.2,DR8,Sloan,SDSS J133256.99+205441.5
2475,53845,320,203.945908056,28.344795,42.563629,80.115944,15.67,1.2,-0.13,25.5,0.26,0.94,10.11,10.6,12.4,6.7,-1.2,10.4,135.3,4.4,169.8,DR8,Sloan,SDSS J133547.01+282041.2
2665,54232,24,204.605576111,23.7643588889,17.927456,78.878479,15.62,1.2,-0.07,22.68,0.26,0.94,8.72,10.1,11.7,6.2,-0.6,9.9,-87.8,2.7,-65.5,DR8,Sloan,SDSS J133825.33+234551.7
