Plate,MJD,Fiber,RAJ2000,DEJ2000,GLON,GLAT,gmag,u-g,g-r,D0_2,fm,cHg,bHg,d,r,x,y,z,HRV,e_HRV,Vgal,DR8,Sloan,SimbadName,spec.ra,spec.dec,spec.specObjID,spec.bestObjID,photo.objID,photo.u,photo.g,photo.r,photo.i,photo.z,photo.err_u,photo.err_g,photo.err_r,photo.err_i,photo.err_z,photo.dered_u,photo.dered_g,photo.dered_r,photo.dered_i,photo.dered_z,spp.TEFFANNRR,spp.TEFFANNRRIND,spp.TEFFANNRRUNC,spp.LOGGANNRR,spp.LOGGANNRRIND,spp.LOGGANNRRUNC,spp.FEHANNRR,spp.FEHANNRRIND,spp.FEHANNRRUNC
3305,54945,115,186.036483889,54.30051,131.528961,62.369839,16.67,1.2,-0.16,27.16,0.24,0.98,9.56,16.8,20.7,13.2,-5.8,14.9,-314.3,2.2,-232.8,DR8,Sloan,SDSS J122408.75+541802.0,186.03649,54.300509,3721130886037610496,1237658800964501633,1237658800964501633,17.999,16.74285,16.88398,17.0027,17.03004,0.01321799,0.004034553,0.004570913,0.005351732,0.01119592,17.88752,16.66082,16.82449,16.95759,16.99805,8169.533,1,169.2068,3.253851,1,0.0474,-2.294386,2,0.0516
3305,54945,589,187.621185,54.35408,129.549591,62.504124,15.55,1.18,-0.2,26.71,0.22,1.06,9.9,10.0,14.5,10.9,-3.6,8.9,9.5,1.7,93.1,DR8,Sloan,SDSS J123029.08+542114.8,187.62119,54.35408,3721261178165501952,1237658916919967847,1237658916919967847,16.81577,15.58149,15.7964,16.00084,16.0744,0.007225615,0.003617926,0.004030557,0.004468145,0.006675105,16.74158,15.5269,15.7568,15.97082,16.05311,8283.914,1,200.6602,2.989291,1,0.0479,-1.982647,1,0.0359
3305,54945,554,187.057236111,54.8424638889,130.046341,61.964035,16.84,1.13,-0.18,26.6,0.21,0.99,9.89,18.1,21.9,13.5,-6.5,16.0,-81.4,2.3,3.0,DR8,Sloan,SDSS J122813.72+545033.0,187.05724,54.842464,3721251557438758912,1237658917456707618,1237658917456707618,18.07463,16.84485,17.04376,17.21048,17.30783,0.01301278,0.004409349,0.005152815,0.005875522,0.01300278,18.00109,16.79074,17.00451,17.18072,17.28673,8249.797,1,182.4951,3.046867,1,0.0312,-1.827327,2,0.0407
3305,54945,287,183.402816944,53.9152869444,134.956116,62.321033,16.93,1.22,-0.11,25.6,0.23,0.85,8.81,18.9,22.8,14.2,-6.2,16.7,23.3,2.7,100.4,DR8,Sloan,SDSS J121336.67+535455.3,183.40282,53.915288,3721178165037604864,1237658800426975243,1237658800426975243,18.24628,16.98605,17.08779,17.17935,17.23973,0.01405492,0.004385113,0.004869602,0.005735554,0.01242306,18.14826,16.91393,17.03548,17.13969,17.21161,7931.426,1,106.87,3.279814,1,0.0568,-1.565081,2,0.0289
3305,54945,265,183.560211111,54.7805330556,134.204041,61.526176,18.3,1.3,-0.14,25.82,0.25,1.03,9.84,35.5,38.9,19.8,-12.1,31.2,-25.1,5.8,54.9,DR8,Sloan,SDSS J121414.45+544650.0,183.56021,54.780532,3721172117723652096,1237658801500782644,1237658801500782644,19.73138,18.37324,18.49834,18.58438,18.73415,0.0342459,0.007165384,0.008626335,0.01077899,0.03600848,19.65436,18.31657,18.45724,18.55321,18.71205,8100.566,1,163.9257,3.417323,1,0.1153,-2.460406,1,0.0956
3304,54942,525,185.910598889,55.7413938889,130.994568,60.949615,18.82,1.1,-0.05,26.74,0.33,0.95,9.39,44.0,47.1,22.0,-16.1,38.4,-175.8,7.8,-90.2,DR8,Sloan,SDSS J122338.55+554429.3,185.9106,55.741393,3721242486467829760,1237658918530187350,1237658918530187350,20.00682,18.96072,18.92474,18.98327,19.12474,0.0370614,0.009222179,0.01027304,0.01335216,0.03940037,19.945,18.91523,18.89174,18.95825,19.107,7840.428,1,145.6189,3.78802,1,0.1158,-2.2731,2,0.0799
3304,54942,510,186.409958056,55.1120111111,130.701721,61.625355,16.49,1.11,-0.01,21.8,0.23,0.92,8.08,15.0,19.1,12.7,-5.4,13.2,-171.9,1.8,-87.5,DR8,Sloan,SDSS J122538.40+550643.4,186.40996,55.11201,3720113562853679104,1237658802038374409,1237658802038374409,17.69301,16.49353,16.55982,16.62744,16.66281,0.01169216,0.003817999,0.0043365,0.004702822,0.01007347,17.60448,16.42839,16.51258,16.59162,16.63741,7752.11,1,169.0657,2.965611,1,0.0443,-1.654525,2,0.0295
3216,54908,509,170.844711111,46.2676388889,159.38031,64.140312,15.82,1.23,-0.11,26.44,0.21,0.94,9.32,11.3,16.3,12.6,-1.7,10.2,88.9,1.7,125.9,DR8,Sloan,SDSS J112322.73+461603.5,170.84471,46.267639,3621034095603195904,1237661357003243588,1237661357003243588,17.12831,15.85037,15.98821,16.09048,16.19396,0.007756902,0.003310158,0.003694554,0.004269811,0.007363696,17.04623,15.78998,15.94441,16.05727,16.17041,8056.652,1,189.2123,3.03653,1,0.0243,-1.245727,2,0.0235
3216,54908,370,169.439743056,47.3551830556,158.889359,62.705391,16.12,1.16,-0.01,20.65,0.24,0.86,7.34,12.7,17.7,13.4,-2.1,11.3,108.0,1.9,147.3,DR8,Sloan,SDSS J111745.53+472118.6,169.43974,47.355183,3620995887574130688,1237661358613528685,1237661358613528685,17.38125,16.15033,16.1624,16.19597,16.24227,0.008909648,0.003516345,0.003835006,0.004206168,0.007328665,17.30081,16.09115,16.11947,16.16342,16.21919,7613.104,1,149.9847,3.15084,1,0.0519,-1.917613,2,0.0248
3216,54908,298,168.583588056,45.479515,162.967621,63.375839,18.88,1.14,-0.28,23.79,0.19,1.06,10.11,45.2,49.2,27.4,-5.9,40.4,-129.4,9.0,-97.7,DR8,Sloan,SDSS J111420.06+452846.2,168.58359,45.479515,3620976096364830720,1237661356465651806,1237661356465651806,20.06509,18.9307,19.15408,19.28898,19.30196,0.04064319,0.008856662,0.01236167,0.01837067,0.05502967,19.99998,18.8828,19.11933,19.26263,19.28328,8151.798,1,204.8574,3.024149,1,0.06,-2.019979,1,0.1202
3238,54885,514,185.507065,41.3907169444,144.003418,74.51223,17.09,1.21,-0.09,22.37,0.24,0.83,7.66,20.4,23.4,12.4,-3.2,19.6,89.8,2.6,129.9,DR8,Sloan,SDSS J122201.69+412326.5,185.50706,41.390717,3645805267557392384,1237661965819707396,1237661965819707396,18.44852,17.16556,17.2399,17.29202,17.3259,0.01535034,0.004571356,0.0050961,0.005962877,0.01360302,18.30672,17.06122,17.16423,17.23464,17.28522,7693.2,1,199.8231,3.00035,1,0.0535,-1.051576,1,0.0435
3238,54885,469,185.4729,40.352825,145.857254,75.432594,16.72,1.23,-0.15,27.39,0.22,1.02,10.0,17.1,20.3,11.6,-2.4,16.6,40.9,2.3,77.6,DR8,Sloan,SDSS J122153.49+402110.1,185.4729,40.352825,3645792898051579904,1237664668982640644,1237664668982640644,18.05574,16.80609,16.94828,17.0748,17.15617,0.01257633,0.004197758,0.00485863,0.005548577,0.01257973,17.93179,16.71488,16.88214,17.02464,17.12061,8146.481,1,164.91,3.100596,1,0.0368,-1.614121,2,0.0402
3238,54885,382,184.387085,41.28006,146.970444,74.228317,18.81,1.02,0.0,24.89,0.21,0.87,9.46,43.9,46.4,18.0,-6.5,42.2,97.4,7.5,135.4,DR8,Sloan,SDSS J121732.90+411648.2,184.38708,41.28006,3645768983673675776,1237661965819314331,1237661965819314331,19.93199,18.88384,18.86738,18.93064,18.95845,0.03974396,0.009166227,0.01038325,0.01353921,0.04500381,19.82377,18.80422,18.80963,18.88685,18.9274,7752.11,1,106.1157,3.795712,1,0.0998,-2.016845,1,0.0734
3215,54861,225,171.442443889,44.4676280556,162.045486,65.602028,18.47,1.13,-0.21,27.99,0.23,1.07,9.62,37.5,41.3,22.7,-4.8,34.2,118.2,7.1,149.5,DR8,Sloan,SDSS J112546.18+442803.4,171.44244,44.467628,3619830129582252032,1237661851465220228,1237661851465220228,19.74887,18.51224,18.71079,18.84507,18.93536,0.03636392,0.007209174,0.009440969,0.01217555,0.04553885,19.67479,18.45773,18.67126,18.8151,18.91411,8260.557,1,230.8389,2.98905,1,0.0861,-2.074533,2,0.1056
3215,54861,230,171.465438889,44.4179269444,162.115723,65.645615,16.68,1.2,-0.16,25.78,0.23,0.94,9.92,16.8,21.3,14.6,-2.1,15.3,-147.8,2.5,-116.6,DR8,Sloan,SDSS J112551.70+442504.5,171.46544,44.417927,3619831503971786752,1237661851465220122,1237661851465220122,17.97366,16.7162,16.85979,16.9611,17.04225,0.01283696,0.003691439,0.004317302,0.005049149,0.01212602,17.89377,16.65742,16.81716,16.92878,17.01933,8061.909,1,127.4785,3.274045,1,0.0509,-1.431494,2,0.0305
3215,54861,495,172.995865,44.96526,159.380356,66.13018,17.01,1.25,-0.23,26.5,0.23,1.06,10.07,19.6,23.8,15.4,-2.8,17.9,-277.0,2.7,-242.1,DR8,Sloan,SDSS J113159.00+445754.9,172.99586,44.96526,3619904346617126912,1237661873473585294,1237661873473585294,18.36802,17.10338,17.31589,17.47915,17.54093,0.01376425,0.004767649,0.005299359,0.006655587,0.0136651,18.26822,17.02995,17.26263,17.43876,17.5123,8280.316,1,179.3539,3.044222,1,0.086,-1.884117,2,0.0541
3215,54861,506,173.531921111,45.43042,157.903229,66.094337,16.93,1.19,-0.1,25.39,0.23,0.83,8.58,18.9,23.1,15.1,-2.9,17.2,-75.2,2.6,-38.0,DR8,Sloan,SDSS J113407.66+452549.4,173.53192,45.43042,3619907370274103296,1237661874010652727,1237661874010652727,18.24161,16.97417,17.07737,17.1734,17.21711,0.01378682,0.004585831,0.005069733,0.0056245,0.01185269,18.14532,16.90331,17.02599,17.13443,17.18948,7924.523,1,136.2259,3.263948,1,0.0471,-1.13768,2,0.0403
